PERMNO,date,TICKER,COMNAM,PRC,CFACPR
14322,19891229,S,SEARS ROEBUCK & CO,38.12500,2.594058
14541,19791231,SD,STANDARD OIL CO CALIFORNIA,56.37500,8
14541,19800131,SD,STANDARD OIL CO CALIFORNIA,62.25000,8
14541,19800229,SD,STANDARD OIL CO CALIFORNIA,79.50000,8
14541,19800331,SD,STANDARD OIL CO CALIFORNIA,65.50000,8
14541,19800430,SD,STANDARD OIL CO CALIFORNIA,70.75000,8
14541,19800530,SD,STANDARD OIL CO CALIFORNIA,73.12500,8
14541,19800630,SD,STANDARD OIL CO CALIFORNIA,76.50000,8
14541,19800731,SD,STANDARD OIL CO CALIFORNIA,74.50000,8
14541,19800829,SD,STANDARD OIL CO CALIFORNIA,73.37500,8
14541,19800930,SD,STANDARD OIL CO CALIFORNIA,75.75000,8
14541,19801031,SD,STANDARD OIL CO CALIFORNIA,84.37500,8
14541,19801128,SD,STANDARD OIL CO CALIFORNIA,115.00000,8
14541,19801231,SD,STANDARD OIL CO CALIFORNIA,99.50000,8
14541,19810130,SD,STANDARD OIL CO CALIFORNIA,91.25000,8
14541,19810227,SD,STANDARD OIL CO CALIFORNIA,91.62500,8
14541,19810331,SD,STANDARD OIL CO CALIFORNIA,41.00000,4
14541,19810430,SD,STANDARD OIL CO CALIFORNIA,41.37500,4
14541,19810529,SD,STANDARD OIL CO CALIFORNIA,37.75000,4
14541,19810630,SD,STANDARD OIL CO CALIFORNIA,37.50000,4
14541,19810731,SD,STANDARD OIL CO CALIFORNIA,42.50000,4
14541,19810831,SD,STANDARD OIL CO CALIFORNIA,41.87500,4
14541,19810930,SD,STANDARD OIL CO CALIFORNIA,38.25000,4
14541,19811030,SD,STANDARD OIL CO CALIFORNIA,42.75000,4
14541,19811130,SD,STANDARD OIL CO CALIFORNIA,45.00000,4
14541,19811231,SD,STANDARD OIL CO CALIFORNIA,42.87500,4
14541,19820129,SD,STANDARD OIL CO CALIFORNIA,36.50000,4
14541,19820226,SD,STANDARD OIL CO CALIFORNIA,31.75000,4
14541,19820331,SD,STANDARD OIL CO CALIFORNIA,30.62500,4
14541,19820430,SD,STANDARD OIL CO CALIFORNIA,29.87500,4
14541,19820528,SD,STANDARD OIL CO CALIFORNIA,33.12500,4
14541,19820630,SD,STANDARD OIL CO CALIFORNIA,28.75000,4
14541,19820730,SD,STANDARD OIL CO CALIFORNIA,25.25000,4
14541,19820831,SD,STANDARD OIL CO CALIFORNIA,27.75000,4
14541,19820930,SD,STANDARD OIL CO CALIFORNIA,28.62500,4
14541,19821029,SD,STANDARD OIL CO CALIFORNIA,30.25000,4
14541,19821130,SD,STANDARD OIL CO CALIFORNIA,30.37500,4
14541,19821231,SD,STANDARD OIL CO CALIFORNIA,32.00000,4
14541,19830131,SD,STANDARD OIL CO CALIFORNIA,33.12500,4
14541,19830228,SD,STANDARD OIL CO CALIFORNIA,36.00000,4
14541,19830331,SD,STANDARD OIL CO CALIFORNIA,38.37500,4
14541,19830429,SD,STANDARD OIL CO CALIFORNIA,40.75000,4
14541,19830531,SD,STANDARD OIL CO CALIFORNIA,36.87500,4
14541,19830630,SD,STANDARD OIL CO CALIFORNIA,39.25000,4
14541,19830729,SD,STANDARD OIL CO CALIFORNIA,36.00000,4
